scientific_name,state,presentation,n_CF,n_EU,n_nonEuropean,max_CF,min_CF,range
Pleuronectiformes,Frozen,gutted,2,1,2,1.11,1.1,0.01
Seriolella spp,Frozen,gutted and headed,2,1,2,1.5,1.49,0.01
Sprattus sprattus,Frozen,whole,3,2,2,1,0.99,0.01
Trachurus trachurus,Frozen,gutted and headed,2,1,1,1.56,1.55,0.01
Mullus spp,Fresh,gutted,3,2,2,1.13,1.12,0.00999999999999979
Ammodytes spp,Fresh,gutted and headed,2,1,1,1,1,0
Ammodytes spp,Frozen,whole,2,1,1,1,1,0
Aphanopus carbo,Frozen,whole,3,2,2,1,1,0
Argentina silus,Frozen,gutted and headed,2,1,1,1.18,1.18,0
Argentina silus,Frozen,whole,3,2,2,1,1,0
Beryx spp,Frozen,whole,3,2,2,1,1,0
Brosme brosme,Fresh,gutted and headed,5,3,3,1.4,1.4,0
Brosme brosme,Frozen,gutted and headed,3,1,1,1.4,1.4,0
Brosme brosme,Frozen,whole,3,2,2,1,1,0
